2026-05-26 13:41:33.388 INFO  [18340] [CServerManager::PrintLog@36267] ======================================== 4.2.0 build Sep  6 2022 10:18:34 Start Print Log ========================================

2026-05-26 14:07:19.130 INFO  [22236] [CServerManager::RegisterModule@24521] start

2026-05-26 14:07:19.131 INFO  [22236] [CServerManager::GetProcessDirectoryById@34481] SDK: Process path:[C:\Program Files\VisionMaster4.2.0\Applications\Server]

2026-05-26 14:07:19.131 INFO  [22236] [CServerManager::RegisterModule@24590] SDK: Register RepAddress:[]; Proxy pub address:[tcp://0.0.0.0:65072]

2026-05-26 14:07:19.131 INFO  [22236] [CServerManager::RegisterModule@24592] SDK: Register info. ClientType:[1]; GUID:[127.0.0.1:4364ACA1C7AC40C39936E237EB1B927B]

2026-05-26 14:07:19.143 INFO  [22236] [CServerManager::RegisterModule@24766] end

2026-05-26 14:07:19.143 INFO  [22236] [CServerManager::InitReq@24342] end

2026-05-26 14:07:19.144 INFO  [22236] [CServerManager::SM_Init@506] SDK: InitReq success.

2026-05-26 14:07:19.144 INFO  [22236] [CServerManager::SM_Init@515] SDK: StartSub success.

2026-05-26 14:07:19.144 INFO  [22236] [CServerManager::StartModuResSub@24943] start

2026-05-26 14:07:19.144 INFO  [22236] [CServerManager::StartModuResSub@24956] end

2026-05-26 14:07:19.144 INFO  [22236] [CServerManager::SM_Init@525] SDK: StartModuResSub success.

2026-05-26 14:07:19.144 INFO  [22236] [CServerManager::ProxyP2PConnect@36857] Begin

2026-05-26 14:07:19.144 INFO  [22236] [CServerManager::GetProxyP2PAddr@36801] start

2026-05-26 14:07:19.144 INFO  [18576] [CServerManager::HeartPairThreadProcess@25875] start

2026-05-26 14:07:19.144 INFO  [18260] [CServerManager::SubThreadProcess@24882] start

2026-05-26 14:07:19.144 INFO  [19004] [CServerManager::ModuResSubThreadProcess@25006] start

2026-05-26 14:07:19.144 INFO  [22236] [CServerManager::GetProxyP2PAddr@36847] end

2026-05-26 14:07:19.144 INFO  [22236] [ProxyP2PComm::InitP2PComm@60] start

2026-05-26 14:07:19.145 INFO  [22236] [ProxyP2PComm::InitP2PComm@97] end

2026-05-26 14:07:19.145 INFO  [22236] [CServerManager::ProxyP2PConnect@36872] End

2026-05-26 14:07:19.145 INFO  [22236] [CServerManager::SM_Init@563] end

2026-05-26 14:07:19.145 INFO  [22236] [CServerManager::SM_SetAllReportModuleResult@14887] start.

2026-05-26 14:07:19.145 INFO  [22236] [CServerManager::SM_SetAllReportModuleResult@14911] end.

2026-05-26 14:07:19.145 INFO  [22236] [CServerManager::SM_GetProcedureReentrant@21103] start.

2026-05-26 14:07:19.146 INFO  [22236] [CServerManager::SM_GetProcedureReentrant@21138] SDK: SM_GetProcedureReentrant nRecvBufLen:[228]

2026-05-26 14:07:19.146 INFO  [22236] [CServerManager::SM_GetProcedureReentrant@21186] end.

2026-05-26 14:07:19.146 INFO  [22236] [CClientManager::PF_CreateHandle@1535] end.

2026-05-26 14:07:19.678 INFO  [22236] [CServerManager::SM_RegisterOutputPlatformInfoCallBack@575] start

2026-05-26 14:07:19.678 INFO  [22236] [CServerManager::SM_RegisterOutputPlatformInfoCallBack@601] end

2026-05-26 14:07:19.682 INFO  [22236] [CServerManager::SM_CheckSolution@322] start

2026-05-26 14:07:19.690 INFO  [22236] [CServerManager::SM_CheckSolution@342] end

2026-05-26 14:07:19.696 INFO  [22236] [CServerManager::SM_LoadSolution@1701] start

2026-05-26 14:07:19.696 INFO  [22236] [CServerManager::SM_CheckSolution@322] start

2026-05-26 14:07:19.698 INFO  [22236] [CServerManager::SM_CheckSolution@342] end

2026-05-26 14:07:19.698 INFO  [22236] [CServerManager::SM_LoadSolution@1785] m_bIsTool:[0]

2026-05-26 14:07:19.698 INFO  [22236] [CServerManager::SM_LoadSolution@1788] Judge start.

2026-05-26 14:07:19.698 INFO  [22236] [CServerManager::SM_GetSolutionVersion@1484] start

2026-05-26 14:07:19.698 INFO  [22236] [CServerManager::SM_GetSolutionVersion@1504] SDK: UncompressOneFile start.

2026-05-26 14:07:19.699 INFO  [22236] [CServerManager::SM_GetSolutionVersion@1511] SDK: UncompressOneFile end.

